text                                                                                                   ,label
"""this agreement is made between two parties.""",1
"""the contract shall remain valid for one year.""",1
"""the party agrees to follow all terms and conditions.""",1
"""this document is legally binding.""",1
"""the affidavit is signed before the authority.""",1
"""the court issued the final order.""",1
"""the defendant submitted the evidence.""",1
"""the plaintiff filed a legal complaint.""",1
"""the agreement may be terminated by notice.""",1
"""all disputes will be settled by the court.""",1
"""the party accepts full legal responsibility.""",1
"""this clause explains the liability of both parties.""",1
"""the document must be signed by both parties.""",1
"""the court has jurisdiction over this case.""",1
"""the contract becomes effective from today.""",1
"""i am going to the market today.""",0
"""she likes reading books in the evening.""",0
"""the weather is very nice today.""",0
"""he is learning python programming.""",0
"""we watched a movie last night.""",0
"""the teacher explained the lesson clearly.""",0
"""my friend sent me an email.""",0
"""they are playing football in the park.""",0
"""this phone has a very good camera.""",0
"""i drink coffee every morning.""",0
"""the students are preparing for exams.""",0
"""she posted a photo on social media.""",0
"""the news article talked about technology.""",0
"""we had dinner at a restaurant.""",0
"""he is writing a blog about travel.""",0
